matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8337535069,200,WIN,945602,15.76,3,3,0,3,44,2,1,0,2
KR_8337457114,100,WIN,939398,15.66,3,4,1,2,17,4,1,3,1
KR_8337457114,200,LOSE,939398,15.66,3,3,2,5,16,10,0,0,1
KR_8337423336,100,WIN,928606,15.48,1,3,0,3,10,3,2,0,0
KR_8337423336,200,LOSE,928606,15.48,6,2,0,2,14,3,0,3,2
KR_8354437600,100,WIN,779197,12.99,3,1,1,1,12,5,0,1,0
KR_8354437600,200,LOSE,779197,12.99,1,2,0,2,43,2,3,2,0
KR_8353424341,100,LOSE,885579,14.76,3,2,0,2,15,4,3,0,1
KR_8353424341,200,WIN,885579,14.76,1,2,0,3,20,6,0,3,1
KR_8353326098,100,WIN,1049298,17.49,4,3,1,2,21,9,2,3,1
KR_8353326098,200,LOSE,1049298,17.49,2,4,1,4,20,5,5,0,0
KR_8352274175,100,LOSE,764637,12.74,3,3,2,3,7,3,2,3,0
KR_8352274175,200,WIN,764637,12.74,4,3,0,4,10,6,1,0,2
KR_8348957369,100,LOSE,723731,12.06,2,3,0,2,10,3,1,3,0
KR_8348957369,200,WIN,723731,12.06,2,1,1,3,10,3,1,0,1
KR_8348036329,100,LOSE,784890,13.08,4,1,5,4,10,3,3,1,0
KR_8348036329,200,WIN,784890,13.08,2,5,1,5,9,2,2,2,1
KR_8344447118,100,WIN,932436,15.54,5,4,3,2,58,1,4,1,1
KR_8344447118,200,LOSE,932436,15.54,2,5,3,4,13,9,1,2,1
KR_8344300040,100,LOSE,902777,15.05,3,4,3,7,11,2,6,0,0
KR_8344300040,200,WIN,902777,15.05,6,5,3,1,11,5,2,3,1
KR_8344189549,100,LOSE,771069,12.85,1,2,1,4,10,3,3,0,0
KR_8344189549,200,WIN,771069,12.85,4,0,0,3,7,5,1,3,2
KR_8355179374,100,WIN,830829,13.85,5,3,7,0,16,5,1,2,1
KR_8355179374,200,LOSE,830829,13.85,0,6,0,3,22,5,4,1,0
KR_8354119704,100,WIN,796500,13.28,1,2,0,2,12,2,5,0,0
KR_8354119704,200,LOSE,796500,13.28,0,2,4,2,13,5,3,3,1
KR_8349658884,100,WIN,945756,15.76,2,2,0,2,18,7,2,3,0
KR_8349658884,200,LOSE,945756,15.76,2,2,2,1,15,8,1,0,1
