matchId,teamId,win,adc_championName,adc_masteryPoints,adc_masteryLevel,support_championName,support_masteryPoints,support_masteryLevel
KR_8344189549,100,False,Tristana,18706,4,Lulu,186618,20
KR_8344189549,200,True,Kaisa,494714,48,Alistar,19641,4
KR_8355179374,100,True,Yunara,252131,26,Pyke,645187,61
KR_8355179374,200,False,KogMaw,23264,5,Milio,61304,8
KR_8354119704,100,True,Yunara,95857,11,Lulu,114136,13
KR_8354119704,200,False,Ezreal,38304,6,Karma,114885,13
KR_8349658884,100,False,Ziggs,86502,10,Alistar,541972,52
KR_8349658884,200,True,Jhin,55920,8,Rell,102996,12
KR_8348539655,100,True,Jhin,83371,10,Sylas,6089,3
KR_8348539655,200,False,Yunara,144005,16,Nautilus,59174,8
KR_8347432922,100,True,Jhin,16208,4,Bard,88518,11
KR_8347432922,200,False,Zoe,1082604,98,Shen,94736,11
KR_8351392547,100,True,Tristana,81005,10,Camille,107114,12
KR_8351392547,200,False,Vladimir,894,1,Leona,8628,3
KR_8351330946,100,True,Lucian,89648,11,Shen,59413,8
KR_8351330946,200,False,Jhin,3844,2,Rakan,11746,3
KR_8347495222,100,True,Ezreal,398548,39,Karma,7255,3
KR_8347495222,200,False,Kaisa,627699,60,Neeko,162315,17
KR_8347445945,100,False,Ezreal,291758,29,Shen,24790,5
KR_8347445945,200,True,Jhin,227095,23,Camille,13159,4
KR_8347384697,100,True,Caitlyn,584216,56,Elise,25622,5
KR_8347384697,200,False,Yunara,222084,23,Rell,90494,11
KR_8347341610,100,False,Katarina,383007,37,Braum,115441,13
KR_8347341610,200,True,Kalista,198171,21,Renata,52577,7
KR_8347302504,100,False,Ezreal,175562,19,Karma,32041,6
KR_8347302504,200,True,Kalista,198171,21,Pyke,50054,7
KR_8346890322,100,True,Kaisa,53330,7,Pantheon,214461,22
KR_8346890322,200,False,Aurora,1184468,110,Rakan,255268,26
KR_8349890382,100,True,Varus,373746,37,Gragas,25910,5
KR_8349890382,200,False,Tristana,109407,13,Alistar,46548,7
KR_8349872070,100,True,Yunara,263523,27,Alistar,423032,41
KR_8349872070,200,False,Vayne,62576,8,Shen,10838,3
KR_8349824447,100,True,Aphelios,93209,11,Galio,12578,3
KR_8349824447,200,False,Syndra,83048,10,Shen,52913,7
KR_8349718982,100,False,Lucian,4219,2,Milio,1128,1
KR_8349718982,200,True,Caitlyn,254044,26,Karma,1996,2
KR_8349680492,100,False,Yunara,333779,33,Poppy,196215,20
KR_8349680492,200,True,Tristana,109407,13,Lulu,86827,11
KR_8349604332,100,False,Kaisa,1163230,108,Nautilus,76055,10
KR_8349604332,200,True,Yunara,263523,27,Braum,59122,8
KR_8345760569,100,False,Kaisa,681646,65,Blitzcrank,451677,44
KR_8345760569,200,True,Syndra,83048,10,Alistar,87360,11
KR_8355071433,100,True,Yunara,70799,9,Pantheon,55143,8
KR_8355071433,200,False,Corki,236518,24,Taric,152885,17
KR_8354437256,100,False,Kaisa,353126,35,Blitzcrank,364,1
KR_8354437256,200,True,Jhin,11984,3,Bard,108613,13
KR_8354051368,100,True,Kaisa,1002862,94,Poppy,196215,20
KR_8354051368,200,False,Kalista,130586,14,Renata,68576,9
KR_8353996372,100,False,Caitlyn,148643,16,Poppy,24178,5
KR_8353996372,200,True,Jinx,56598,8,Bard,312349,31
KR_8353922904,100,True,Jhin,22876,5,Karma,145590,16
KR_8353922904,200,False,Caitlyn,584216,56,Lux,37893,6
KR_8353871988,100,False,Kaisa,751077,71,Camille,332382,33
KR_8353871988,200,True,Ezreal,1828546,169,Poppy,446715,43
KR_8353691791,100,True,Yasuo,62097,8,Bard,3549648,325
KR_8353691791,200,False,Corki,139959,15,Rell,166828,18
KR_8352837783,100,True,Yunara,114989,13,Lulu,223544,23
KR_8352837783,200,False,Jhin,183858,19,Neeko,61447,8
KR_8352794228,100,True,Caitlyn,301447,30,Milio,8392,3
KR_8352794228,200,False,Kalista,267373,27,Pantheon,144379,16
KR_8352720388,100,False,Zoe,5031679,460,Sylas,5225,2
KR_8352720388,200,True,Jhin,39444,6,Maokai,167193,18
KR_8352654642,100,True,Zeri,129271,14,Nautilus,11921,3
KR_8352654642,200,False,Jhin,227095,23,Karma,34804,6
KR_8352546382,100,False,Yunara,59324,8,Alistar,42879,7
KR_8352546382,200,True,Kaisa,385612,38,Rakan,140314,15
KR_8349438804,100,True,Kalista,131388,15,Leona,16300,4
KR_8349438804,200,False,Yunara,138561,15,Alistar,6452,3
KR_8349331960,100,True,Ziggs,74279,9,Camille,46345,7
KR_8349331960,200,False,Nasus,12142,3,Hwei,168387,18
KR_8349272098,100,True,Ashe,4859,2,Seraphine,10025,3
KR_8349272098,200,False,Rengar,3421704,314,Bard,1012338,95
KR_8348451695,100,True,Ezreal,904773,85,Karma,201334,21
KR_8348451695,200,False,Yunara,32385,6,Lulu,28720,5
KR_8347515639,100,False,Kaisa,51184,7,Nautilus,100727,12
KR_8347515639,200,True,Yunara,95080,11,Braum,94097,11
KR_8347487807,100,False,Kalista,33456,6,Renata,69768,9
KR_8347487807,200,True,Taliyah,46518,7,Alistar,148142,16
KR_8355032870,100,False,Kaisa,594507,57,Pantheon,128439,14
KR_8355032870,200,True,Xerath,1351723,126,Lux,17795,4
KR_8354130641,100,True,Xerath,1351723,126,Taric,1746650,161
KR_8354130641,200,False,Kaisa,56057,8,Rell,1060682,99
KR_8354101680,100,False,Kaisa,341025,34,Rell,4673,2
KR_8354101680,200,True,Ezreal,381211,37,Nautilus,39511,6
KR_8354067237,100,False,Xerath,1351723,126,Poppy,122946,14
