matchId,teamId,win,laneEventTimestampMs,laneOutcome,adc_kills,adc_deaths,support_kills,support_deaths,jungle_kills,jungle_deaths,support_wardsPlaced,team_hordeKills,team_dragonKills,adc_masteryPoints,support_masteryPoints
KR_8352951958,100,False,937716,WIN,2,3,0,5,3,2,17,2,2,145007,166828
KR_8352951958,200,True,937716,LOSE,5,1,1,3,4,2,18,1,0,505068,127357
KR_8349866048,100,False,969702,WIN,3,5,0,6,2,4,22,3,0,290424,240279
KR_8349866048,200,True,969702,LOSE,5,3,2,3,5,1,17,0,1,505068,221842
KR_8349768600,100,True,932702,LOSE,2,4,1,5,6,2,12,3,0,83048,10748
KR_8349768600,200,False,932702,WIN,7,3,4,0,1,5,16,0,1,505068,65948
KR_8349692884,100,True,1014342,WIN,1,1,2,1,0,3,60,3,1,398548,294125
KR_8349692884,200,False,1014342,LOSE,2,1,2,1,2,2,24,0,0,505068,325195
KR_8354835865,100,True,935943,WIN,4,3,1,2,6,1,12,1,1,2631,152885
KR_8354835865,200,False,935943,LOSE,0,5,1,2,5,2,21,2,1,5283,607978
KR_8351825608,100,False,911294,LOSE,2,1,0,1,4,2,15,3,1,301447,14306
KR_8351825608,200,True,911294,WIN,1,2,0,2,4,0,14,0,1,372901,48972
KR_8351778487,100,False,657807,WIN,6,3,3,0,3,1,2,3,1,131463,53398
KR_8351778487,200,True,657807,LOSE,1,5,1,4,2,2,9,0,0,34915,179292
KR_8350249693,100,True,704984,WIN,4,2,1,3,0,1,6,1,1,37003,519101
KR_8350249693,200,False,704984,LOSE,2,3,0,2,3,1,9,2,0,385612,76878
KR_8350221429,100,False,705537,LOSE,0,2,1,3,2,1,4,3,0,2977,65704
KR_8350221429,200,True,705537,WIN,1,0,2,2,2,0,5,0,0,35732,171124
KR_8350163257,100,False,946071,WIN,1,5,0,2,1,1,13,0,0,162684,163215
KR_8350163257,200,True,946071,LOSE,3,3,0,1,6,0,13,3,2,241987,127513
KR_8355188641,100,False,984795,LOSE,4,7,2,5,6,4,56,2,0,228239,26485
KR_8355188641,200,True,984795,WIN,8,5,0,6,8,5,9,1,2,57458,31742
KR_8349819732,100,True,912377,WIN,1,1,2,4,5,0,18,3,1,55487,255706
KR_8349819732,200,False,912377,LOSE,1,3,1,4,2,4,51,0,1,126056,417008
KR_8353972020,100,False,930954,WIN,1,5,2,4,5,1,15,3,0,6345,778394
KR_8353972020,200,True,930954,LOSE,4,1,1,4,5,1,14,0,2,403380,436034
KR_8353924006,100,True,679579,WIN,2,0,1,1,1,0,6,0,1,190499,275614
KR_8353924006,200,False,679579,LOSE,0,3,1,0,1,1,13,3,0,1079305,758125
KR_8352720856,100,False,782476,LOSE,1,2,0,2,0,2,6,3,1,326915,42511
KR_8352720856,200,True,782476,WIN,0,1,0,1,4,0,11,0,1,116835,1189
KR_8349106255,100,True,989001,WIN,3,3,1,2,3,1,53,3,1,227685,25472
KR_8349106255,200,False,989001,LOSE,0,3,3,4,2,4,19,0,0,91647,7958
KR_8347118210,100,False,855686,LOSE,3,6,1,3,0,1,15,3,1,23078,227428
KR_8347118210,200,True,855686,WIN,5,3,1,1,4,3,28,0,1,671771,62439
KR_8346161118,100,True,874433,WIN,2,1,1,2,3,1,49,3,1,959551,13330
KR_8346161118,200,False,874433,LOSE,1,2,0,2,3,3,15,0,0,15117,46083
KR_8346063817,100,True,853872,WIN,3,1,4,2,3,1,17,2,2,226227,62683
KR_8346063817,200,False,853872,LOSE,3,3,0,3,5,4,12,1,0,930514,6003201
KR_8343083944,100,False,885313,LOSE,0,2,0,1,4,2,14,2,0,654472,466246
KR_8343083944,200,True,885313,WIN,1,0,1,0,4,1,17,1,2,3646,166828
KR_8341979729,100,True,1076735,WIN,4,3,0,3,9,1,66,1,1,7424,307569
KR_8341979729,200,False,1076735,LOSE,2,6,1,3,3,3,26,2,1,38778,32020
KR_8341741662,100,False,764613,LOSE,2,3,0,2,1,2,42,3,0,211606,374806
KR_8341741662,200,True,764613,WIN,4,0,0,1,5,0,9,0,1,51184,75298
KR_8341675387,100,False,747648,LOSE,2,4,2,2,3,2,13,0,0,125973,1784489
KR_8341675387,200,True,747648,WIN,5,3,0,1,3,0,45,3,2,252131,374806
KR_8338645568,100,False,828638,LOSE,1,4,0,1,1,1,13,3,0,76931,223544
KR_8338645568,200,True,828638,WIN,4,1,1,0,2,2,15,0,1,71185,387726
KR_8337535069,100,False,945602,LOSE,2,5,0,1,4,3,18,3,0,9142,96699
KR_8337535069,200,True,945602,WIN,3,3,0,3,2,1,44,0,2,9075,31570
KR_8337457114,100,True,939398,WIN,3,4,1,2,4,1,17,3,1,280055,1650069
KR_8337457114,200,False,939398,LOSE,3,3,2,5,10,0,16,0,1,27893,498803
KR_8337423336,100,True,928606,WIN,1,3,0,3,3,2,10,0,0,13700,81488
KR_8337423336,200,False,928606,LOSE,6,2,0,2,3,0,14,3,2,45516,1650069
KR_8354437600,100,True,779197,WIN,3,1,1,1,5,0,12,1,0,131910,51679
KR_8354437600,200,False,779197,LOSE,1,2,0,2,2,3,43,2,0,148643,51121
KR_8353424341,100,False,885579,LOSE,3,2,0,2,4,3,15,0,1,1082604,6049
KR_8353424341,200,True,885579,WIN,1,2,0,3,6,0,20,3,1,184504,26223
KR_8353326098,100,True,1049298,WIN,4,3,1,2,9,2,21,3,1,10855,548659
KR_8353326098,200,False,1049298,LOSE,2,4,1,4,5,5,20,0,0,65132,557877
KR_8352274175,100,False,764637,LOSE,3,3,2,3,3,2,7,3,0,20952,61577
KR_8352274175,200,True,764637,WIN,4,3,0,4,6,1,10,0,2,679185,280055
KR_8348957369,100,True,723731,LOSE,2,3,0,2,3,1,10,3,0,166943,6224
KR_8348957369,200,False,723731,WIN,2,1,1,3,3,1,10,0,1,30504,39772
KR_8348036329,100,False,784890,LOSE,4,1,5,4,3,3,10,1,0,852321,2057383
KR_8348036329,200,True,784890,WIN,2,5,1,5,2,2,9,2,1,82062,47019
KR_8344447118,100,False,932436,WIN,5,4,3,2,1,4,58,1,1,6310,79599
KR_8344447118,200,True,932436,LOSE,2,5,3,4,9,1,13,2,1,24524,1556916
KR_8344300040,100,False,902777,LOSE,3,4,3,7,2,6,11,0,0,68057,35568
KR_8344300040,200,True,902777,WIN,6,5,3,1,5,2,11,3,1,166943,60920
KR_8344189549,100,False,771069,LOSE,1,2,1,4,3,3,10,0,0,18706,186618
KR_8344189549,200,True,771069,WIN,4,0,0,3,5,1,7,3,2,494714,19641
KR_8355179374,100,True,830829,WIN,5,3,7,0,5,1,16,2,1,252131,645187
KR_8355179374,200,False,830829,LOSE,0,6,0,3,5,4,22,1,0,23264,61304
KR_8354119704,100,True,796500,WIN,1,2,0,2,2,5,12,0,0,95857,114136
KR_8354119704,200,False,796500,LOSE,0,2,4,2,5,3,13,3,1,38304,114885
KR_8349658884,100,False,945756,WIN,2,2,0,2,7,2,18,3,0,86502,541972
KR_8349658884,200,True,945756,LOSE,2,2,2,1,8,1,15,0,1,55920,102996
KR_8348539655,100,True,980154,LOSE,5,7,5,1,2,0,13,3,0,83371,6089
KR_8348539655,200,False,980154,WIN,4,5,2,4,1,1,11,0,2,144005,59174
KR_8347432922,100,True,913423,LOSE,1,4,0,4,7,1,49,3,0,16208,88518
KR_8347432922,200,False,913423,WIN,4,1,0,0,6,2,41,0,1,1082604,94736
KR_8351392547,100,True,835840,WIN,2,1,8,0,5,1,13,3,1,81005,107114
KR_8351392547,200,False,835840,LOSE,0,3,0,5,1,4,6,0,0,894,8628
KR_8351330946,100,True,1039131,WIN,4,2,1,4,1,3,47,2,1,89648,59413
KR_8351330946,200,False,1039131,LOSE,0,2,1,1,6,2,18,0,1,3844,11746
KR_8347495222,100,True,913655,WIN,3,4,0,3,3,1,16,3,0,398548,7255
KR_8347495222,200,False,913655,LOSE,3,4,4,0,3,1,22,0,2,627699,162315
KR_8347445945,100,False,851429,LOSE,2,2,2,4,0,3,46,2,0,291758,24790
KR_8347445945,200,True,851429,WIN,3,1,0,3,6,0,7,1,1,227095,13159
KR_8347384697,100,True,549600,WIN,2,1,1,2,2,1,5,3,0,584216,25622
KR_8347384697,200,False,549600,LOSE,0,3,0,3,2,1,3,0,0,222084,90494
